iter	Passed	Remaining
0	898	178739
1	1639	162352
2	2391	157017
3	3126	153193
4	3864	150698
5	4620	149396
6	5350	147524
7	6103	146477
8	6827	144891
9	7568	143804
10	8314	142857
11	9055	141866
12	9784	140743
13	10524	139823
14	11290	139249
15	12043	138503
16	12787	137654
17	13558	137093
18	14300	136234
19	15056	135507
20	15787	134570
21	16577	134125
22	17378	133737
23	18113	132833
24	18850	131956
25	19573	130990
26	20303	130094
27	21083	129515
28	21871	128965
29	22692	128591
30	23422	127690
31	24184	126968
32	24923	126127
33	25670	125333
34	26414	124526
35	27147	123672
36	27879	122820
37	28619	122009
38	29356	121188
39	30129	120517
40	30910	119872
41	31625	118972
42	32367	118177
43	33140	117498
44	33877	116687
45	34624	115917
46	35359	115106
47	36154	114490
48	36909	113742
49	37651	112953
50	38396	112178
51	39184	111526
52	39928	110743
53	40669	109957
54	41424	109209
55	42169	108435
56	42913	107659
57	43663	106901
58	44389	106084
59	45128	105298
60	45841	104457
61	46583	103686
62	47341	102949
63	48095	102203
64	48875	101511
65	49627	100759
66	50352	99954
67	51081	99158
68	51816	98375
69	52563	97618
70	53333	96902
71	54059	96106
72	54814	95362
73	55531	94554
74	56288	93813
75	57016	93026
76	57750	92250
77	58497	91496
78	59208	90686
79	59937	89905
80	60660	89117
81	61414	88377
82	62141	87597
83	62861	86808
84	63614	86066
85	64360	85314
86	65153	84624
87	65875	83841
88	66607	83072
89	67326	82288
90	68039	81498
91	68806	80773
92	69547	80017
93	70293	79266
94	71029	78506
95	71769	77750
96	72487	76971
97	73213	76201
98	73928	75421
99	74641	74641
100	75363	73870
101	76088	73105
102	76825	72349
103	77592	71623
104	78342	70881
105	79059	70109
106	79767	69330
107	80496	68570
108	81244	67827
109	82005	67095
110	82760	66357
111	83474	65586
112	84315	64915
113	85055	64164
114	85798	63416
115	86577	62694
116	87301	61931
117	88069	61200
118	88819	60456
119	89565	59710
120	90317	58967
121	91043	58208
122	91774	57452
123	92500	56693
124	93211	55926
125	93955	55179
126	94695	54431
127	95426	53677
128	96194	52944
129	96972	52216
130	97701	51461
131	98447	50715
132	99151	49948
133	99858	49183
134	100584	48429
135	101295	47668
136	102038	46922
137	102757	46166
138	103481	45412
139	104219	44665
140	104962	43920
141	105677	43163
142	106397	42410
143	107128	41661
144	107862	40913
145	108592	40164
146	109305	39409
147	110022	38656
148	110771	37914
149	111507	37169
150	112270	36432
151	113077	35708
152	113831	34967
153	114555	34217
154	115274	33466
155	116012	32721
156	116745	31974
157	117471	31226
158	118205	30480
159	118952	29738
160	119667	28987
161	120412	28244
162	121141	27498
163	121886	26755
164	122637	26013
165	123353	25265
166	124086	24520
167	124816	23774
168	125528	23025
169	126271	22283
170	127016	21540
171	127728	20793
172	128483	20052
173	129237	19311
174	129984	18569
175	130714	17824
176	131456	17081
177	132186	16337
178	132890	15590
179	133629	14847
180	134365	14104
181	135108	13362
182	135835	12618
183	136562	11875
184	137326	11134
185	138062	10391
186	138780	9647
187	139502	8904
188	140284	8164
189	141031	7422
190	141764	6680
191	142487	5936
192	143209	5194
193	143937	4451
194	144677	3709
195	145435	2968
196	146168	2225
197	146897	1483
198	147619	741
199	148349	0
