iter	Passed	Remaining
0	9	1812
1	17	1762
2	26	1730
3	34	1689
4	42	1659
5	50	1628
6	58	1601
7	66	1592
8	76	1627
9	84	1606
10	92	1583
11	100	1571
12	107	1553
13	115	1538
14	123	1526
15	132	1521
16	141	1527
17	150	1522
18	159	1520
19	170	1531
20	180	1539
21	190	1544
22	200	1540
23	206	1517
24	212	1487
25	218	1459
26	222	1427
27	227	1397
28	234	1383
29	238	1354
30	242	1324
31	247	1296
32	250	1270
33	254	1244
34	258	1219
35	262	1196
36	266	1174
37	270	1153
38	274	1131
39	278	1113
40	281	1092
41	285	1074
42	289	1057
43	293	1040
44	297	1024
45	300	1007
46	304	992
47	308	977
48	312	962
49	315	947
50	319	934
51	323	919
52	326	905
53	330	893
54	333	880
55	337	867
56	341	855
57	344	843
58	348	832
59	352	821
60	355	810
61	359	799
62	362	789
63	366	778
64	370	768
65	373	758
66	377	748
67	380	738
68	383	728
69	387	719
70	390	710
71	394	701
72	397	692
73	401	683
74	404	674
75	408	666
76	411	657
77	415	649
78	418	641
79	422	633
80	425	625
81	429	618
82	433	610
83	436	603
84	441	597
85	445	590
86	448	583
87	452	576
88	456	568
89	459	561
90	463	555
91	467	548
92	470	541
93	474	534
94	477	528
95	481	521
96	485	515
97	488	508
98	492	502
99	496	496
100	499	489
101	503	484
102	507	478
103	511	472
104	514	465
105	518	459
106	522	453
107	525	447
108	529	441
109	532	435
110	536	429
111	539	424
112	543	418
113	547	412
114	550	407
115	554	401
116	570	405
117	582	404
118	592	403
119	603	402
120	613	400
121	623	398
122	633	396
123	642	394
124	652	391
125	662	389
126	672	386
127	682	383
128	692	381
129	701	377
130	711	374
131	721	371
132	731	368
133	742	365
134	752	362
135	763	359
136	773	355
137	783	352
138	793	348
139	803	344
140	813	340
141	824	336
142	834	332
143	845	328
144	855	324
145	865	320
146	876	316
147	888	312
148	898	307
149	908	302
150	918	297
151	927	293
152	937	288
153	947	282
154	957	277
155	966	272
156	976	267
157	986	262
158	996	256
159	1006	251
160	1017	246
161	1027	240
162	1037	235
163	1047	229
164	1057	224
165	1066	218
166	1076	212
167	1086	207
168	1097	201
169	1107	195
170	1117	189
171	1127	183
172	1138	177
173	1149	171
174	1160	165
175	1170	159
176	1180	153
177	1189	147
178	1199	140
179	1209	134
180	1218	127
181	1231	121
182	1240	115
183	1250	108
184	1260	102
185	1270	95
186	1280	89
187	1290	82
188	1300	75
189	1310	68
190	1320	62
191	1330	55
192	1340	48
193	1350	41
194	1359	34
195	1370	27
196	1381	21
197	1392	14
198	1403	7
199	1413	0
