TSPAN7,LYN,JADE3,NPY,IRX5,ZNF423,TRAF3IP2,ABCC6,ADA,target
3.48766,10.8405,6.55154,4.29246,3.28626,4.10578,6.8674,5.53949,8.30483,0
6.85630032909589,5.93345901307654,6.0370099661196,9.09477884075224,5.30411272687657,7.09721718682156,9.52029520900649,6.2413122700179,9.55651583115107,1
9.52603,6.11219,7.12268,11.4613,6.10275,9.86279,9.81225,4.14459,11.3708,1
8.64941,7.31935,6.92806,11.1658,4.52185,8.28173,9.84902,4.28538,10.6864,1
6.14020997794559,5.92298843591658,5.3441635505894,10.792883891413,5.07548075804395,7.45813231187021,10.1004739316746,6.19659740949468,9.12827619340403,1
4.61052,11.3857,4.34248,4.4142,3.81152,3.89037,6.99555,5.10174,6.77703,0
7.51694104375558,6.34753135266451,5.42030245537617,10.7494705904118,5.18775011355524,6.85771776333446,8.95901377618276,5.80004086213594,9.30478885867439,1
7.59959,9.09563,5.97431,4.74394,5.19579,9.09001,9.28268,3.8811,10.9937,1
10.2341,7.90318,5.61015,4.48561,8.8265,11.8184,10.0884,4.17847,12.6348,1
7.18271,7.78411,5.61968,5.38473,5.41391,9.52351,9.89846,4.28921,10.9095,1
5.88290533332144,8.99115132620755,4.92434605058597,5.74942099978793,4.93941766811681,5.01420347736418,8.24109971280642,6.22804402604254,7.95693971574391,0
9.04086,5.63561,7.06674,11.9757,4.29112,8.67916,9.0655,4.80523,11.2518,1
8.19731,6.67842,6.08822,5.34444,5.27537,4.30343,7.86079,5.13583,9.86772,1
4.47275,7.25259,6.57268,6.8989,4.67245,10.763,9.16812,4.30503,11.1485,1
3.83996,8.49572,8.9145,10.8107,4.95198,7.31757,10.2414,3.71597,11.5221,1
5.35195870452269,9.02629805407447,4.56804140696932,5.198376409049,4.70572962283229,4.8363447605123,8.62885460678267,5.60325090145116,8.34483006636034,0
7.67972,9.78155,6.76825,4.88647,4.14845,9.57265,9.90581,4.97988,9.92687,1
4.03886,10.5503,4.54217,5.33994,5.5107,6.01281,8.37828,4.61206,9.59593,1
