HSP90B1,MARCKSL1,RPL10P9,HADHB,RAB6A,MGAT1,CDIPT,SGTA,CTSC,NASP,SPEN,IER2,CPNE3,STT3A,RSRC2,UNC119B,CRIM1,HSPA1B,GCC2,JARID2,SH2B3,UTP14C,NRGN,P2RX4,ELL,GNG11,RUNX3,TRIM16,PTGS2,RRAD,MLH3,AOC3,MAFG,CSF2RB,HGD,ESR1,MLLT10,SCN1B,TCN1,ZC3H11B,SLC18A2,AMPD1,BMP6,ANXA11,GRB14,CLC,EGF,ITGA2B,CD70,CRTAM,NKX2-2,TAT,GNA13,CPNE1,ELK4,GLE1,VCY,IL11,ST8SIA4,GUCY1A2,ZNF124,RIT2,ASS1,AANAT,ABCB9,PROX1,ZFX,PAPOLB,BAZ1B,HIST1H3G,HIST1H2BI,EIF4G1,UBN1,NCKAP1L,SEPT5,BOLA2B,SF1,GZMH,HNF1A,DLGAP1,OPRM1,NPIPB13,DDX39B,SBF1,PDE8A,OSBPL8,DAZAP2,PKN2,NFATC2IP,RGPD5,SP3,CASP8,GRIK2,TRAF3IP3,PPBP,SLC5A12,MNX1,GLG1,RPL23,SP140L,PCM1,ASLP1,SCFD1,IGLV4-60,L3MBTL1,KIR3DL3,RPSAP44,COX7CP1,YWHAB,MLX,MKNK2,RUFY1,NRN1,PIGG,ZNF768,RASAL2,YIPF2,MSRA,FSBP,DCAF16,CRYZL1,LRRFIP1,ARSJ,AUNIP,ZC3HAV1,VSIG10,EDEM3,CALML5,CYP39A1,HAMP,HKDC1,ZNF692,B3GALT1,EXD3,ST6GALNAC5,LSG1,CDC14B,TAF1D,CCDC28B,DALRD3,AGAP10P,NPIPB15,EPS15L1,RPL26P37,ELF4,target
9.27271,8.82868,13.4964,10.1591,6.15502,4.91269,9.93679,6.55449,9.5245,3.2979,7.79035,11.6369,8.63857,6.51483,9.79982,7.970460000000001,6.15541,5.37789,8.53098,4.4979,9.1359,7.43328,11.5706,8.4363,4.3289300000000015,12.4436,10.0168,5.03842,5.30958,4.12406,10.4248,3.70498,5.83029,9.82223,7.0526300000000015,4.59446,7.512060000000001,6.81803,4.71773,6.95131,5.13056,3.43572,7.1118,8.079260000000001,5.8235199999999985,7.135,5.33477,9.39478,6.8319899999999985,7.44154,3.19472,3.81915,6.803889999999999,8.856489999999997,8.86485,7.59427,6.0237,5.6848800000000015,7.88018,4.30599,4.05655,3.2908800000000005,5.50629,4.09886,5.1626400000000015,3.88691,6.04951,3.28352,7.70236,8.16845,7.40612,6.4017300000000015,7.94065,9.38382,6.47171,9.02293,6.705939999999999,11.3447,3.76997,5.20584,4.33965,7.475989999999999,5.42282,6.09721,6.916060000000001,6.807410000000001,10.8711,6.80386,5.97016,4.82224,9.8952,6.988010000000001,2.92776,6.41996,13.6796,3.38248,5.29073,8.45627,5.99881,8.1848,5.5738400000000015,4.97737,3.88794,5.18996,4.14495,8.43862,7.513839999999999,11.9044,11.4604,8.26678,7.99696,10.1653,3.83647,7.28083,5.99488,3.5633800000000004,4.46338,7.7652899999999985,4.25599,5.90889,7.45685,6.32727,3.04081,4.45768,5.84526,4.50709,8.94158,4.55725,4.8589699999999985,5.04531,4.622,6.78406,3.5055300000000003,5.2602699999999984,3.85625,6.61366,7.32178,8.724039999999999,6.280869999999998,5.2023199999999985,4.65336,6.76657,5.99368,12.8176,8.793330000000001,1
10.8076,9.04203,13.6595,10.7493,6.34483,5.3023099999999985,10.2339,6.72037,9.55002,4.8238400000000015,8.16615,11.4693,8.76229,8.657739999999999,8.76821,8.30926,5.7718300000000005,6.7714,8.12472,4.27217,8.543510000000001,7.65419,9.32859,8.36743,4.67916,11.1715,8.92803,5.41909,6.57918,4.29081,7.40395,3.4857,6.85606,10.465,5.47792,4.381,6.0182699999999985,6.81133,7.14518,7.788119999999998,4.8924400000000015,3.76088,6.01434,8.58891,3.86873,10.3826,4.76527,6.734610000000001,6.48283,7.74074,3.38687,3.971130000000001,4.51881,8.38941,7.33016,7.9043199999999985,5.94025,5.1788,8.711319999999999,4.09813,4.82504,3.5892,4.56026,3.78685,5.24812,3.91314,5.17084,3.20058,7.19257,7.614039999999998,6.605460000000001,7.809260000000001,9.46527,9.16742,6.84761,9.16681,6.78701,10.0021,3.96114,5.19177,4.46396,8.79398,6.84104,7.0279,6.90223,10.1851,10.1585,8.161489999999999,6.51478,6.813910000000001,9.77974,7.01779,2.78857,7.0455,12.7347,3.26339,5.1711,9.23169,5.24389,8.14609,6.5470000000000015,4.67929,4.5906400000000005,4.70936,4.57456,6.21635,7.24498,12.1173,12.0767,7.97196,8.07644,9.50039,3.67133,7.25409,5.80392,3.44085,4.89965,8.2872,4.03906,8.05839,6.27295,6.9439,3.15464,4.6252900000000015,6.85859,5.15415,7.944739999999999,5.04638,4.5422699999999985,5.06761,5.56755,5.901680000000002,3.7029,5.81944,4.13284,7.55157,7.87501,9.8874,6.36987,4.85789,5.0448900000000005,6.896039999999998,6.30736,12.6257,8.65138,0
10.5808,10.4874,13.1507,10.5733,4.75205,3.9131,9.67147,7.757389999999999,6.25281,6.21597,10.1321,10.2995,7.0104,8.45935,8.823360000000003,8.511460000000001,4.11883,7.33171,6.583360000000001,5.59437,6.37661,8.96068,6.6487300000000005,6.39771,3.52802,6.72041,8.05062,5.30192,3.843,5.33556,6.6673300000000015,4.11741,8.40674,11.4255,4.4996,4.56141,6.26201,6.21729,4.2727900000000005,8.05342,4.51788,3.816,4.48097,8.23108,3.5065800000000005,8.50327,3.03262,9.39549,6.647,3.82059,3.39122,3.97673,4.10235,8.68581,6.95615,7.8326600000000015,5.64398,5.95467,7.786339999999999,4.03301,6.05986,4.06768,6.1804,3.45402,5.93635,4.12262,4.77263,3.15918,7.50156,6.6658,4.73452,8.68858,10.4849,8.27563,6.7248,9.40064,8.91494,4.54226,4.18989,4.46823,4.91059,8.94817,7.26277,6.96364,4.10232,9.34961,7.72007,8.306980000000001,6.377280000000002,6.72041,7.8334100000000015,4.42307,3.03091,3.91415,4.22269,3.47302,5.2246,8.45423,5.96134,7.7707,7.776289999999999,4.8316,4.7260800000000005,4.86171,3.90835,5.35134,6.74252,11.6608,10.7443,6.50189,8.10505,8.31697,4.23717,7.55214,6.9539399999999985,4.65906,4.8787,8.52391,4.92663,8.006110000000001,6.85509,5.7457,3.19811,6.82423,6.97403,7.30638,7.5627,4.04014,5.2451,4.9625,4.94653,6.81279,4.27728,6.19068,4.31199,8.31611,4.91059,11.0157,7.38353,5.31452,5.46861,6.59219,7.53078,12.2126,8.841460000000003,0
8.92278,8.87577,13.3467,9.45645,5.5608900000000006,5.77151,10.5961,5.97667,9.18189,5.8526,9.67245,11.283,8.52918,6.21555,9.35874,8.095469999999999,4.6334800000000005,5.29213,8.86167,4.11276,8.38668,7.869560000000001,10.1206,8.31948,6.04426,9.77895,8.58308,4.71557,7.73013,4.8257400000000015,7.46732,4.72613,6.8406699999999985,11.7211,4.80836,4.94074,7.0667399999999985,6.4620000000000015,6.76013,8.51153,4.44428,3.72626,5.48569,8.75533,3.46321,10.8382,3.60272,7.12003,6.6847699999999985,6.27147,3.23968,4.02745,5.4901800000000005,8.88463,8.239989999999999,7.25138,5.56662,5.9624,8.54222,4.23109,3.9835,3.39614,5.67835,4.44169,5.586130000000002,3.93409,5.49023,4.05016,6.87369,7.12142,5.7874,7.28471,10.8473,8.214319999999999,6.4351699999999985,7.9207100000000015,8.2548,7.268910000000001,4.12633,4.5490900000000005,4.39621,8.28381,7.49452,7.1978100000000005,7.2009,9.09046,10.7667,9.62033,7.619639999999999,6.48306,7.98295,8.06272,2.9751,8.14069,12.4636,3.26727,5.51109,8.13457,6.81515,8.377989999999999,5.48364,4.83737,4.93118,4.92154,4.49536,5.7926,7.2326,10.4698,11.1098,8.284180000000001,9.04501,8.51261,4.00919,8.28186,5.91977,3.38561,4.981319999999998,7.1807300000000005,4.85675,6.91405,8.133389999999999,8.94673,2.87725,4.8519,5.95368,5.70881,9.25207,4.90375,4.84122,5.62327,5.6647,7.0870000000000015,3.7709,6.04691,4.26739,7.27382,5.3285300000000015,9.74904,6.17441,5.2436300000000005,5.40623,6.9984600000000015,6.32506,11.1798,8.48372,0
10.4257,10.6975,13.698,11.4054,4.89547,3.97287,9.94956,8.06992,6.35369,6.2926199999999985,9.83529,11.1371,7.088310000000001,8.914019999999997,9.311,9.58084,4.98421,6.97445,7.10664,6.15843,6.80495,8.792910000000001,6.17855,6.90985,3.4772800000000004,6.971019999999998,7.52988,6.47105,5.01591,4.6459199999999985,7.142289999999999,4.01423,8.00435,10.7769,4.43645,4.22719,6.897760000000001,5.30178,4.4062,7.678660000000002,6.71005,4.35123,5.42169,8.6383,3.04286,10.7351,3.51054,8.906939999999997,6.335369999999998,3.79797,3.4515300000000004,3.94746,4.08632,9.35339,7.21891,8.35615,5.68615,5.43306,7.86411,3.93833,6.84727,3.65257,5.66113,3.87893,5.41044,4.1676199999999985,5.40937,3.26081,7.94605,6.69895,5.3012,8.61214,10.3078,8.20252,6.13633,9.04782,8.5777,5.0874,4.16948,4.9092400000000005,4.31818,8.23695,6.80214,6.95058,3.98802,8.66654,7.4210600000000015,8.03245,5.7529,5.73169,8.39622,4.7027199999999985,2.83183,3.55511,4.347,3.05894,5.17784,8.40456,5.56697,8.29973,6.74834,5.36003,3.96729,4.50317,4.30957,4.97561,7.7518699999999985,11.734000000000002,10.5414,6.972110000000002,7.94031,9.01988,4.03111,8.50413,6.89012,4.203130000000002,5.03811,9.02711,5.33787,8.07896,6.7108,5.9428,3.09168,6.7511199999999985,6.78555,7.37599,8.14958,3.816230000000001,4.56987,4.77927,4.60026,6.9241199999999985,3.89028,5.89728,4.02821,8.4891,5.57491,10.7936,7.71983,5.03854,4.580030000000002,6.4956,7.0975,12.3259,8.67629,0
7.0530800000000005,8.64518,13.184,9.56033,4.26025,5.09259,10.4223,6.63252,7.98398,4.26509,8.619769999999999,11.0487,8.57523,5.9275400000000005,9.71051,8.10055,5.39835,6.2154,8.3474,4.08674,8.318430000000001,7.97973,9.93996,7.75011,4.25881,10.0649,9.59938,4.9277,7.97872,4.32851,6.7934,4.8594800000000005,6.5417,11.6662,5.69727,4.82975,6.71137,6.463419999999998,6.09398,7.09347,4.80852,3.68957,6.26613,8.5323,4.13841,10.8543,4.7270699999999986,7.5075,6.49055,6.77888,3.3807,4.23621,4.8684400000000005,8.80622,8.357560000000001,7.41472,5.89519,5.93424,9.24258,4.45028,4.5686300000000015,3.29121,4.76768,4.66166,5.79362,4.05155,4.65299,3.63473,7.173839999999998,6.92,5.5408300000000015,5.2257099999999985,9.40068,7.2436,6.628660000000001,8.20357,7.986510000000001,9.09017,4.30325,5.09152,4.6047400000000005,8.77316,5.9881,6.6440100000000015,6.972239999999998,6.77878,9.31651,9.84149,5.64817,5.86265,8.38797,7.253189999999999,2.94047,7.50675,12.019,3.51418,5.38925,9.33328,6.05029,7.903789999999999,4.9167,5.22441,4.9854699999999985,4.761819999999998,3.91949,5.64817,6.68491,10.8214,11.0562,7.12965,8.87533,8.78377,4.10515,7.959739999999999,5.6733699999999985,3.47035,5.1119900000000005,7.2261,4.21368,5.69319,7.42011,8.77261,3.01009,5.58916,6.07429,5.81763,9.25698,4.38326,5.29825,5.94301,5.53983,7.09943,3.89419,5.34093,3.92688,6.96156,5.45615,8.7366,6.2156,5.77716,4.4897800000000005,7.50202,6.11031,12.1816,8.51328,0
9.05202,9.35385,13.4564,9.91078,6.18945,4.91822,9.76156,6.34621,9.59982,3.55349,6.90343,10.739,9.25378,7.25201,9.91861,7.700989999999999,5.77498,5.94955,8.63672,3.91292,8.817910000000003,7.78143,10.9308,8.38636,4.48099,12.0907,10.3905,5.34772,3.70211,4.23658,10.0865,4.0782,5.83645,9.1402,6.57555,4.0481300000000005,7.228269999999998,6.22468,5.19407,6.88288,4.60262,3.60781,6.94813,7.6694,4.63793,8.38824,4.4847800000000015,8.513810000000001,6.74327,7.85263,3.21195,3.85112,6.9810300000000005,8.68379,8.89069,7.77071,5.8649,6.06542,8.56905,4.59914,4.18781,3.25058,5.40941,3.72201,5.58439,3.99092,5.71462,3.12166,8.01515,7.50321,6.84837,5.72147,7.4873699999999985,9.1927,5.98356,8.977,6.37725,10.851,3.4863800000000005,5.11308,4.59359,8.396180000000001,5.51071,6.25046,6.9977800000000006,6.34711,10.7743,6.97067,5.93971,4.57341,9.062,6.983910000000002,2.88001,7.17258,13.5546,2.92876,5.93653,8.55936,5.24514,8.41965,4.393680000000002,4.99434,3.7976,4.9405199999999985,4.426819999999998,5.9896,7.07936,12.0093,11.2215,8.358310000000001,9.05742,9.58152,3.66915,7.52575,5.47673,3.5326,4.31921,7.45047,4.48099,5.22233,8.20619,7.60575,3.00124,5.14268,6.20228,5.06746,9.10511,4.341480000000002,5.27342,4.69203,5.15786,7.00881,3.7192,4.991630000000002,3.94776,6.86706,7.31962,9.11272,6.56808,4.91539,4.73482,6.850339999999999,5.52484,13.0295,8.59074,1
9.75805,9.6569,13.5516,10.1721,6.00633,5.6978800000000005,10.3079,6.81843,9.56702,4.20136,9.53129,11.5328,9.54058,7.9504199999999985,10.1101,8.34976,6.2291,7.17386,8.854339999999997,4.2066300000000005,9.29481,8.2388,10.1307,8.305769999999999,4.84708,9.33969,10.5864,5.53702,6.50856,4.48674,7.796019999999999,3.78394,6.16742,9.96408,4.71668,4.72851,7.743419999999999,5.92577,8.48851,8.8042,3.8749,3.3921,5.4149699999999985,8.345080000000001,3.52397,9.20993,3.77454,7.18412,6.6089600000000015,7.54353,3.18692,3.57722,6.12129,8.18308,8.79474,8.28248,5.83139,5.98041,8.59643,4.00206,4.10482,3.19558,4.55076,3.84046,5.5514,3.8895,5.6911,2.9392400000000003,8.152999999999999,7.2542399999999985,6.35485,7.40137,9.75133,8.23873,6.47047,8.83243,8.30517,11.6894,3.7429,5.25119,4.06018,8.68241,7.45195,7.15295,7.19028,8.391960000000001,10.9582,8.401489999999999,7.65246,5.38014,8.632,8.46568,2.7997400000000003,7.52232,12.1761,3.22761,5.04343,8.98291,5.5411800000000015,8.79226,5.40618,4.71769,4.75094,5.61692,4.20435,7.07982,6.91253,11.7881,11.7821,8.38382,9.26159,9.13152,4.25752,8.03036,5.67472,3.38878,4.72,7.763339999999999,4.8398400000000015,6.44158,8.30684,5.75523,2.85391,4.61144,6.43622,4.87014,9.12138,4.35026,4.79966,4.72487,4.95843,7.4634399999999985,3.62008,6.14666,4.116619999999998,8.34154,6.52091,9.21866,6.34906,5.5484800000000005,5.17488,7.0417,6.07174,12.623,9.49452,0
9.80488,9.89415,13.4937,10.2735,5.429880000000002,6.74532,9.9738,7.40189,9.25128,5.78584,9.87068,11.8281,6.916289999999999,7.8910300000000015,10.2315,8.746369999999999,6.3140800000000015,4.85496,8.37487,4.48795,9.63539,7.1805,11.893,8.403039999999999,4.25216,11.583,11.5917,5.72475,6.3146900000000015,4.3882900000000005,9.73964,3.86032,6.87817,10.0597,7.1695600000000015,4.42694,6.69415,6.80709,3.72193,7.148110000000001,5.05506,3.81332,7.46046,8.41925,5.97882,5.76273,5.98278,9.72245,6.51236,7.091660000000001,3.30255,3.88374,4.80936,8.61027,6.0225800000000005,7.80785,6.0863,5.29419,7.35415,4.17164,4.6772,3.2688,5.01355,3.68013,5.17914,3.84127,5.71234,3.20605,7.95645,6.86028,6.62485,6.78182,9.5577,9.65878,6.66678,8.83561,5.69735,11.7015,4.23506,4.41818,4.13159,11.109000000000002,7.4351600000000015,8.26415,7.25001,9.6158,10.303,7.985710000000001,7.38607,5.9870199999999985,9.88124,7.09085,2.87195,6.97409,13.0531,3.52965,5.10478,10.0909,4.9118900000000005,9.10149,5.96788,5.18714,4.4405199999999985,5.52603,4.569,8.59068,6.75813,11.7625,12.6378,7.572539999999999,10.3055,10.045,3.30966,8.02391,6.21631,3.78074,4.95047,8.015139999999999,4.53204,6.02441,6.64045,8.5377,3.02311,4.78445,6.79553,4.748469999999998,7.48055,4.24103,4.651680000000002,5.21017,5.45554,7.641,3.59398,6.0472199999999985,3.86549,7.2538300000000016,7.90017,9.50578,6.785660000000001,5.926,5.12606,8.094289999999999,5.92199,12.4865,9.2756,0
9.1525,9.837,13.6728,9.7134,5.99509,5.437130000000002,10.3897,7.04568,8.85955,4.1738300000000015,9.66113,11.5977,9.26763,7.676830000000002,9.90472,7.747730000000002,5.98353,4.64484,8.754710000000001,4.45359,8.62716,7.7004199999999985,7.94919,7.81715,5.18565,7.73043,10.6106,5.5335,8.348419999999999,4.85796,6.244,4.13591,5.80577,9.80599,4.11536,5.2834900000000005,7.70419,5.3031,6.0946099999999985,7.43537,4.31685,3.4499699999999995,4.61198,8.60103,3.29902,9.65442,3.3077,4.94657,6.20695,7.657019999999998,3.20915,3.65252,5.46713,9.11932,8.72328,8.2681,5.91598,5.78944,8.00434,4.39354,4.03561,3.34744,5.2897300000000005,3.75309,5.42652,4.10289,5.46398,3.02604,8.1114,6.825069999999998,6.27529,6.51,9.17605,8.967989999999997,7.091360000000001,9.06586,9.34485,11.1406,4.1201,4.31073,4.32754,9.82181,6.94997,6.91967,6.5716600000000005,7.550789999999999,10.3469,9.4295,7.51903,6.573239999999998,8.33135,7.27217,2.94758,8.85162,10.2342,3.45004,5.51385,9.22208,6.31047,8.05792,5.32501,4.87897,5.40936,5.61477,4.89345,8.0369,6.7042,11.719,11.0325,7.56193,9.0176,8.79832,3.93377,7.821989999999999,5.96917,3.47379,4.95217,7.32003,4.7403900000000005,6.40192,9.19559,8.15175,2.7469,4.61228,6.96835,4.8351,8.44935,4.57852,4.4147300000000005,5.49177,4.920730000000002,7.2945600000000015,3.28355,6.28777,3.55751,8.025730000000001,4.63259,9.0633,7.22807,5.50989,5.13967,7.31774,5.88577,12.227,9.60154,0
