RPL10P9,HADHB,CDIPT,SGTA,SPEN,UNC119B,GCC2,GNG11,TRIM16,AOC3,MAFG,CSF2RB,BMP6,ANXA11,CLC,CD70,AANAT,UBN1,SEPT5,BOLA2B,HNF1A,SBF1,PKN2,SP3,TRAF3IP3,GLG1,PCM1,SCFD1,KIR3DL3,PIGG,ZNF768,YIPF2,LRRFIP1,EDEM3,EXD3,LSG1,CDC14B,TAF1D,CCDC28B,target
13.4964,10.1591,9.93679,6.55449,7.79035,7.970460000000001,8.53098,12.4436,5.03842,3.70498,5.83029,9.82223,7.1118,8.079260000000001,7.135,6.8319899999999985,4.09886,7.94065,6.47171,9.02293,3.76997,6.09721,6.80386,9.8952,6.41996,8.45627,5.5738400000000015,3.88794,8.43862,7.28083,5.99488,4.46338,6.32727,8.94158,5.2602699999999984,6.61366,7.32178,8.724039999999999,6.280869999999998,1
13.6595,10.7493,10.2339,6.72037,8.16615,8.30926,8.12472,11.1715,5.41909,3.4857,6.85606,10.465,6.01434,8.58891,10.3826,6.48283,3.78685,9.46527,6.84761,9.16681,3.96114,7.0279,8.161489999999999,9.77974,7.0455,9.23169,6.5470000000000015,4.5906400000000005,6.21635,7.25409,5.80392,4.89965,6.9439,7.944739999999999,5.81944,7.55157,7.87501,9.8874,6.36987,0
13.1507,10.5733,9.67147,7.757389999999999,10.1321,8.511460000000001,6.583360000000001,6.72041,5.30192,4.11741,8.40674,11.4255,4.48097,8.23108,8.50327,6.647,3.45402,10.4849,6.7248,9.40064,4.18989,6.96364,8.306980000000001,7.8334100000000015,3.91415,8.45423,7.776289999999999,4.7260800000000005,5.35134,7.55214,6.9539399999999985,4.8787,5.7457,7.5627,6.19068,8.31611,4.91059,11.0157,7.38353,0
13.3467,9.45645,10.5961,5.97667,9.67245,8.095469999999999,8.86167,9.77895,4.71557,4.72613,6.8406699999999985,11.7211,5.48569,8.75533,10.8382,6.6847699999999985,4.44169,10.8473,6.4351699999999985,7.9207100000000015,4.12633,7.1978100000000005,9.62033,7.98295,8.14069,8.13457,5.48364,4.93118,5.7926,8.28186,5.91977,4.981319999999998,8.94673,9.25207,6.04691,7.27382,5.3285300000000015,9.74904,6.17441,0
13.698,11.4054,9.94956,8.06992,9.83529,9.58084,7.10664,6.971019999999998,6.47105,4.01423,8.00435,10.7769,5.42169,8.6383,10.7351,6.335369999999998,3.87893,10.3078,6.13633,9.04782,4.16948,6.95058,8.03245,8.39622,3.55511,8.40456,6.74834,3.96729,4.97561,8.50413,6.89012,5.03811,5.9428,8.14958,5.89728,8.4891,5.57491,10.7936,7.71983,0
13.184,9.56033,10.4223,6.63252,8.619769999999999,8.10055,8.3474,10.0649,4.9277,4.8594800000000005,6.5417,11.6662,6.26613,8.5323,10.8543,6.49055,4.66166,9.40068,6.628660000000001,8.20357,4.30325,6.6440100000000015,9.84149,8.38797,7.50675,9.33328,4.9167,4.9854699999999985,5.64817,7.959739999999999,5.6733699999999985,5.1119900000000005,8.77261,9.25698,5.34093,6.96156,5.45615,8.7366,6.2156,0
13.4564,9.91078,9.76156,6.34621,6.90343,7.700989999999999,8.63672,12.0907,5.34772,4.0782,5.83645,9.1402,6.94813,7.6694,8.38824,6.74327,3.72201,7.4873699999999985,5.98356,8.977,3.4863800000000005,6.25046,6.97067,9.062,7.17258,8.55936,4.393680000000002,3.7976,5.9896,7.52575,5.47673,4.31921,7.60575,9.10511,4.991630000000002,6.86706,7.31962,9.11272,6.56808,1
13.5516,10.1721,10.3079,6.81843,9.53129,8.34976,8.854339999999997,9.33969,5.53702,3.78394,6.16742,9.96408,5.4149699999999985,8.345080000000001,9.20993,6.6089600000000015,3.84046,9.75133,6.47047,8.83243,3.7429,7.15295,8.401489999999999,8.632,7.52232,8.98291,5.40618,4.75094,7.07982,8.03036,5.67472,4.72,5.75523,9.12138,6.14666,8.34154,6.52091,9.21866,6.34906,0
13.4937,10.2735,9.9738,7.40189,9.87068,8.746369999999999,8.37487,11.583,5.72475,3.86032,6.87817,10.0597,7.46046,8.41925,5.76273,6.51236,3.68013,9.5577,6.66678,8.83561,4.23506,8.26415,7.985710000000001,9.88124,6.97409,10.0909,5.96788,4.4405199999999985,8.59068,8.02391,6.21631,4.95047,8.5377,7.48055,6.0472199999999985,7.2538300000000016,7.90017,9.50578,6.785660000000001,0
13.6728,9.7134,10.3897,7.04568,9.66113,7.747730000000002,8.754710000000001,7.73043,5.5335,4.13591,5.80577,9.80599,4.61198,8.60103,9.65442,6.20695,3.75309,9.17605,7.091360000000001,9.06586,4.1201,6.91967,9.4295,8.33135,8.85162,9.22208,5.32501,5.40936,8.0369,7.821989999999999,5.96917,4.95217,8.15175,8.44935,6.28777,8.025730000000001,4.63259,9.0633,7.22807,0
13.804,9.69925,9.90498,6.8148399999999985,9.52596,8.26352,9.1579,7.8811399999999985,5.5778300000000005,3.80373,6.06519,10.9688,5.42189,8.705739999999999,10.3691,6.4551,3.4917800000000003,9.12924,6.45864,7.212639999999999,4.39248,7.1360800000000015,7.727289999999999,7.973889999999999,8.10513,8.7408,5.26465,4.3465099999999985,7.24821,8.59013,5.71231,4.57353,7.599289999999999,9.1821,6.37234,7.29365,5.85128,9.58103,5.50713,0
13.0968,9.36641,8.06983,6.41365,7.83167,8.4832,9.15875,8.79888,6.4208,3.85255,6.8811800000000005,9.858,5.36759,8.90902,9.17903,5.6206,3.03132,8.16484,6.3092,8.2088,4.07451,10.0183,8.82265,8.48446,8.951880000000003,10.7804,5.93727,5.5288,5.76181,8.26543,5.51535,3.9396,7.1924800000000015,7.59238,5.15324,7.736339999999998,5.90374,10.7707,4.77885,0
13.4329,9.58388,10.3144,6.67272,9.62173,8.29786,8.13043,9.22922,5.51377,5.02826,6.642460000000002,11.4208,5.18417,9.06067,11.0821,6.46617,4.67681,10.566,6.6864300000000005,8.00039,4.397469999999998,6.96667,9.8534,7.717110000000001,7.42552,9.30897,5.2264300000000015,5.6737199999999985,6.08437,7.65831,6.27124,4.87469,9.14817,9.23884,5.99343,8.08713,4.68938,9.36202,6.4913,0
13.3645,9.70739,9.52733,6.49814,7.12825,7.7287,8.42155,12.9082,4.98569,4.1033800000000005,5.90514,9.23296,7.27237,7.39739,5.6162800000000015,6.63237,3.82676,6.52355,5.62944,9.33246,3.74633,6.18601,6.52847,9.20656,6.66654,8.78027,4.56578,3.71641,7.4207,7.431780000000002,5.10315,4.06254,7.90297,9.49998,5.01584,6.43802,7.77418,8.88601,6.3329900000000015,1
45.78862173823161,2020.40573101912,5851.98882440521,2578.6801933033607,7200.83419504412,1340.26303046976,3254.80312404685,5050.958653124229,285.811668268123,7.85460594850998,1605.2833693082598,863.008540314912,889.720287913568,38124.132420203,59.2094246615063,84.30302491954309,25.0485117054523,2439.85563786538,4910.6462747217,3136.11789929711,5.04564207292684,15319.9838667657,243.64416140694001,2037.3836146639896,11222.10351444,9406.983977889,2526.42127225871,1003.65665680577,5.52621296840726,1141.44930685565,709.045469951921,1067.26551409149,11626.4456913549,1360.38168120422,360.960240607517,782.218671961492,764.061083995632,2582.8454636746696,577.95831853058,0
13.408,10.404000000000002,9.98099,6.894260000000001,8.46062,8.68122,7.98963,6.69425,6.02716,5.55114,8.68811,9.98118,7.92245,7.99553,11.7959,6.51719,3.77599,9.45759,7.31251,9.37436,4.0797,6.996580000000002,8.48264,8.743219999999999,5.21823,8.425189999999999,6.14356,5.0030199999999985,5.53193,8.0092,6.40227,5.4647,8.54664,7.9772,6.339180000000002,7.12873,6.17349,9.06467,6.93894,0
13.686608621731803,10.1154155309209,9.82688395364617,7.8939493996552095,6.46633790998305,8.12086985642102,6.895452568360442,5.62744501225844,6.743075595222219,4.90492608892897,8.01058089270264,9.89630351641533,6.33743879603099,9.849526015260633,10.5626499253581,7.30838705743421,5.76741374380942,7.79540789366454,6.535237988499111,9.36054732755669,6.91488863100704,6.78143236683305,7.02040998163212,8.40234023506644,7.2049572312307095,8.23978529905375,8.96769525326121,6.67304539314108,7.34824033715581,7.9848679585762,6.7774918359112695,5.791134224788411,5.47931002973408,5.85334980246832,6.2846338024333885,7.10714430740381,5.1350153626880894,10.387561510144101,7.367894232762411,0
13.0023,10.1933,10.1379,6.7494,8.40455,7.639239999999999,8.78459,10.7943,5.1173,4.21856,7.69106,11.1571,6.22006,7.68987,8.5091,6.27222,3.56017,8.716510000000001,6.36816,8.60593,4.08663,6.72301,8.69871,8.48606,7.49095,8.11565,5.29646,4.61872,6.38129,8.40002,5.38795,4.39078,8.45022,8.79317,5.4694699999999985,7.04926,6.96109,9.812,5.9176,0
13.4931,10.4767,10.3476,6.94083,7.988389999999999,7.76058,8.59175,10.3046,5.51189,4.35355,8.42755,10.8859,5.06655,8.199580000000001,9.90182,6.2331400000000015,3.33802,9.10796,7.06315,8.67269,4.21176,6.40211,8.3478,8.83588,8.33002,8.324910000000001,5.68214,4.70959,5.212280000000002,8.37504,5.80996,4.5599,8.45752,8.823960000000003,6.15445,7.51878,6.65958,9.85685,6.46685,0
13.3179,9.65014,10.7232,7.04692,9.27718,7.999230000000002,8.63819,8.070139999999999,5.69249,4.7108300000000005,6.836310000000001,11.4548,5.19868,8.98603,9.08276,6.92707,4.19412,10.1629,6.71065,7.2991,3.96768,7.27423,9.50673,7.285239999999999,8.11195,8.8736,4.6405,4.98732,6.4870800000000015,8.17859,6.23925,5.64424,9.33972,8.866060000000003,5.70973,7.18372,4.56967,9.25712,6.39789,0
11.8675,8.63693,9.45159,5.37207,9.92351,7.36998,6.51537,7.2608,5.97845,6.70135,6.22444,10.956,4.47976,8.98756,9.0545,5.13631,3.2223,11.3122,6.9161800000000015,7.67801,5.10733,7.38002,11.1151,9.12527,7.84243,6.6322,8.683069999999999,7.254760000000001,5.70405,6.97077,5.97985,3.56558,8.249239999999999,8.31917,5.4269,9.084,3.67126,10.8807,6.24899,0
12.8661,10.1147,10.9189,6.95016,8.06493,8.47668,7.99281,7.55629,5.643669999999998,5.38961,7.07567,11.7403,5.76089,8.67273,9.26299,6.88532,4.10081,9.54075,7.07333,6.9078800000000005,4.25836,5.9779,9.6346,7.42851,7.5819800000000015,8.7347,4.23515,4.77834,6.4882,8.07677,5.76275,5.18878,9.65917,8.58072,5.5301300000000015,6.50047,4.8354300000000014,7.93547,6.2744,0
12.764,9.97624,9.80514,7.370360000000002,7.633960000000001,8.26795,6.87478,7.95984,7.0377399999999986,4.6322800000000015,8.133560000000001,8.644110000000001,4.8522,8.32435,11.93,6.61447,4.47255,9.89349,7.9329800000000015,9.3351,4.54551,5.83936,7.562189999999998,9.03974,4.1437599999999986,6.46779,6.3779,4.43037,5.44136,6.591660000000001,6.68952,6.34302,6.679880000000002,7.26911,5.85385,7.046760000000001,4.3285300000000015,9.21158,7.181539999999999,0
13.4184779791087,10.839743788536401,10.8805405658811,7.96490131126079,7.6809387069477,9.63064117885138,8.2732167557101,4.75579127489084,6.91077553482102,4.58946778078546,7.42389925967301,9.834975427204599,5.95223877666342,10.645292626130098,6.585972914355482,6.881457510228518,5.378374020429192,9.101429798180053,6.67424492824188,6.78016926798041,6.044764472295738,7.154994891342,8.31892398415632,9.48505614310568,8.122670403812,9.03184724430598,9.52505634381235,8.225603690519,6.52279333813132,8.82351288386363,7.4458634125949406,5.9289045124821,6.98991663606318,5.7572038683645586,6.1562124063567,7.67035524473285,7.81532572871256,10.123779745755401,6.9371354229467,0
13.4908,9.83764,10.4892,6.35491,8.98705,8.64227,9.10057,7.1808,4.599480000000002,4.46666,6.6696800000000005,11.7694,4.61815,8.50539,10.781,6.34258,3.629,9.45077,6.30305,8.52679,4.23337,6.94508,9.40292,8.48081,8.3687,8.1385,5.32143,4.93838,6.19457,8.97927,5.59053,4.69581,8.91274,9.60977,5.45987,7.175889999999999,4.71694,9.81808,6.2808,0
13.1014,10.4134,9.78002,7.062189999999998,9.19352,9.9735,7.23677,8.605210000000001,6.35221,4.7362,8.04486,7.749060000000001,5.61895,8.15071,4.1867800000000015,6.50975,4.16897,9.49934,5.76029,7.7736800000000015,4.36076,7.46586,8.30064,8.20508,4.222,8.66422,6.21824,4.013330000000002,5.52113,7.850119999999999,6.7820100000000005,4.9366900000000005,5.97876,7.0712100000000015,6.09874,7.53378,6.15739,10.5773,6.31733,0
13.0561,9.7858,10.826,6.69712,8.07108,8.56296,8.34676,7.9085800000000015,5.4994,5.02946,6.76022,11.5156,5.16,8.80096,9.41103,6.45373,4.14246,9.50698,6.97721,6.886660000000001,4.32535,6.73526,9.18656,6.906039999999999,7.78603,9.54182,4.68599,4.407019999999998,6.60472,8.32804,6.29755,5.64722,9.19639,8.82189,5.9356,7.0887,4.6181,8.0081,6.0932900000000005,0
13.6516,9.79343,9.61554,6.98415,8.52968,7.9313699999999985,8.73894,12.4069,5.25169,3.95857,5.99332,9.28521,7.68615,8.048010000000001,7.82288,6.40459,4.32735,8.42349,6.57368,9.20503,3.88218,6.37804,8.57057,8.64166,8.10408,8.74708,5.20697,4.41955,6.80019,7.94411,6.08081,4.63323,7.124630000000002,8.963230000000003,5.90418,6.88317,8.19406,9.0912,6.0048,0
13.0266,10.2206,10.6769,7.10611,7.56491,7.956,8.06205,10.3852,7.02503,5.09753,9.30869,11.2134,5.56669,8.5455,9.878,6.22971,4.32061,9.70673,7.55928,8.76014,4.35083,5.89726,7.550610000000002,8.06542,6.49031,7.955189999999999,5.84235,4.31852,5.41592,7.76512,6.2774800000000015,4.98935,8.06587,8.487689999999999,5.7629800000000015,6.16601,6.61272,8.73754,6.2715,0
13.378496690429802,9.79417127516977,10.043406402939802,7.55569372489912,8.04886896621876,7.339088360289639,8.205813376264219,8.71530914653405,6.20584841891886,4.94424173572702,7.55618217740199,9.18681934041705,6.905154004089731,10.632668856916,7.142534336571032,7.19835082457661,5.66131259904624,8.82680927083918,7.34485118558815,8.6564986708548,6.598609626245231,7.44038599055768,8.41371902956819,7.725683060247119,10.0674522421149,10.084529292189599,8.25341813540273,6.82845341705942,7.8683035519457984,8.46021624477612,6.70266468847496,5.66882517020349,8.13255901184068,5.99994093606561,6.8760887535824,7.16909044406242,5.21161085428764,8.856568357021919,6.73406020104792,0
13.2306,9.9603,10.7204,6.659089999999999,8.38382,8.95652,8.42234,7.35953,5.36731,5.71444,7.0933,11.8999,5.21995,8.99244,10.7196,6.2652,3.7487,9.36321,6.565810000000001,6.87723,4.18649,6.21387,9.32214,7.22735,7.4821399999999985,8.95186,4.74143,4.45553,6.72147,8.09487,5.90308,5.036569999999998,9.47079,9.00803,5.63382,6.41979,4.78608,8.074910000000001,6.06391,0
