TSPAN7,LYN,JADE3,NPY,IRX5,ZNF423,TRAF3IP2,ABCC6,ADA,target
10.4412929933125,4.92592839629866,5.32738299464882,5.98249380097954,5.45287060494184,10.1444787761392,8.49647164915238,6.03081758478854,10.1534906755985,1
4.81073,6.33362,5.85152,10.0673,4.85565,7.28456,8.67857,4.56331,9.33588,1
8.10881317898941,8.08523577479214,6.36695990357635,9.97662875610989,5.2230724861454,7.27213120334926,10.5468649508439,5.9277833618441,9.80676766327797,1
5.85062049777445,5.65322925344155,4.96589936365508,11.9705761350669,5.83544763268742,6.37207934746316,9.30760643704343,5.70456365295282,9.7987045001836,1
4.29286,10.4174,3.65036,4.95863,4.24736,3.37967,7.4,4.92447,8.384,0
8.76444,9.3504,7.89459,11.6205,4.71118,8.09576,10.5132,4.12722,10.8397,1
9.72532,5.94219,6.18853,10.5042,6.05339,9.019,9.73356,3.92673,10.516,1
9.14443,6.87566,6.21642,11.0705,4.72183,9.78808,9.80404,4.82982,9.43328,1
6.74097,7.47632,4.93828,4.94253,4.72516,3.87362,6.87894,4.05101,9.76576,1
9.08206,9.56587,8.03054,10.7273,4.81104,8.04144,10.1457,4.43662,11.1491,1
4.20053,7.79354,9.1639,4.58409,6.81724,7.97334,9.89451,3.97669,10.6389,1
7.99242,9.05878,8.15952,10.0299,5.13164,9.33549,9.33911,4.2234,10.6558,1
6.46885,10.5372,7.44843,4.30416,4.2087,6.78234,8.43121,5.47208,9.90283,0
6.56073,9.3839,5.36833,9.12099,4.45405,7.40821,9.27011,4.124,10.9114,1
4.0851,7.45565,6.37404,5.92075,5.29207,7.15076,10.0686,4.17244,11.0127,1
5.87954,9.4886,6.00014,5.91695,8.18909,4.78731,9.70478,4.44205,11.743,1
8.28905623768339,5.92929562519584,6.32420919535314,7.54324475993698,6.3899539739924,9.14846566248163,10.2848463979281,5.98620742282868,8.99717600392444,1
4.11366,11.0342,4.65672,4.29009,3.9854,3.91701,7.94952,4.30133,8.73794,0
4.29154,9.09221,6.10509,8.7137,5.5711,5.72193,10.4016,4.07697,11.4857,1
6.09946,7.4271,5.64809,9.36109,4.51701,8.62936,8.698,4.24944,9.71708,1
4.15864,8.98801,8.29817,7.12324,4.00839,8.18222,9.74704,4.37032,11.616,1
8.91318419961558,6.32228846446022,5.90828148901362,10.4333870111185,5.31958369620428,6.90892454183676,9.593174977257,5.78533193293628,8.30334775109986,1
4.72994,4.49649,5.68099,9.85404,4.59589,8.23337,8.02968,3.73218,9.69166,1
9.35023,7.47393,4.60188,4.62533,6.22469,10.3101,7.80176,4.072,8.80287,1
9.48157,7.93436,6.83892,5.37195,5.36068,8.29429,8.88465,4.37155,12.0302,1
3.22675,11.4439,7.5036,3.60465,3.06529,4.93445,7.14189,4.05634,8.38986,0
6.82283847694835,6.95360872492113,6.53795725675765,10.2618937081734,5.51313084886437,7.67454305952544,10.4438117964725,6.15289550579753,10.4297360509177,1
3.89341,10.9955,4.82763,4.09582,3.70293,3.75328,7.5278,5.53784,9.16595,0
6.34015111187966,7.45964379030136,6.98357177938785,6.05376634697775,4.88965937769556,7.27862639528371,11.10958541308,6.14086055820955,9.5019444443809,1
8.32136459177281,7.60200721706838,6.1649396660653,7.82409708067598,6.60398385691524,8.24937026665439,10.6486479489679,5.79285428170641,10.3540778392488,1
4.27115,10.7979,4.53388,4.36642,3.93995,3.62409,7.3163,4.92697,8.21194,0
4.18026,10.6767,4.48471,4.51499,3.68349,3.70953,7.8929,5.2091,8.86825,0
8.91496,5.63462,4.99746,4.68928,5.6044,3.95715,6.39972,4.36999,10.9901,1
7.82142493305203,5.84977739169586,6.51208620504001,10.5669661543746,5.55786760653537,7.37473172246856,10.127317463831,5.9934151227371,9.85452001093618,1
8.68151,4.43248,4.62251,5.39815,8.08417,10.159,8.85727,4.76339,11.5307,1
2277.49899992823,104.042025301567,716.276616937498,0.0,275.50590341694,2.29632391074379,1542.84843633836,61.9996057309631,10795.6515197847,1
4.01707,10.6282,4.13903,4.51714,3.8784,3.82193,7.85729,4.13999,8.52713,0
10.4205,6.78313,6.76174,4.88948,5.46325,10.0992,8.26569,4.29419,12.4445,1
7.23835176116385,8.69952622294402,5.66385308634025,9.703502888016,8.09897905400608,7.01858140401239,9.27236059969247,6.24985602958646,7.53740740401225,1
6.78101,9.8408,6.60868,8.22224,6.40294,9.18929,10.0544,4.36424,10.5414,1
8.03449650045484,6.5138179234332,5.77958077103239,8.5998545496123,5.32825616070247,7.18401254513671,10.5282944705116,5.95632866140689,9.70046262644418,1
4.29652,9.40298,8.37775,7.39705,4.337,7.85406,10.2916,3.97534,11.4553,1
3.71875,9.85884,5.77557,4.73055,6.4178,3.76278,6.95638,4.47257,11.3215,1
8.91463,8.6747,6.30861,6.54875,4.42802,7.87993,10.1626,3.99232,10.3827,1
9.7815,8.32832,8.03184,10.1246,4.21007,8.31314,9.87641,4.25176,10.7808,1
4.23988,7.24914,7.54925,11.0569,4.82607,7.79545,9.69841,4.39821,10.0234,1
