STMN1,SOX4,TGFBI,TSPAN7,S100A13,LYN,SMARCD1,SSBP2,JADE3,CTSG,NPY,PF4,NAALADL1,SPP1,IRX5,DNTT,ZNF423,TRAF3IP2,ABCC6,ADA,LPAR6,SEMA4C,target
9.89880321056677,10.5027307184953,6.92175429038999,10.4412929933125,6.10031203600687,4.92592839629866,7.21648746297109,8.49253276821904,5.32738299464882,7.70220691901027,5.98249380097954,7.25818677464751,5.42175202607234,5.31190763544294,5.45287060494184,10.262061504685,10.1444787761392,8.49647164915238,6.03081758478854,10.1534906755985,8.34583823640958,7.15413140450822,1
7.24408,11.8287,6.46399,4.81073,5.9348,6.33362,7.50522,8.70218,5.85152,6.41562,10.0673,5.88234,5.06236,5.29096,4.85565,7.21809,7.28456,8.67857,4.56331,9.33588,8.45768,8.18484,1
8.98901011778928,11.7105661438816,6.51116354377552,8.10881317898941,8.62015945775429,8.08523577479214,7.53162834800462,8.76988638468056,6.36695990357635,10.33050307865,9.97662875610989,6.74790608688371,5.24018000289681,4.64110053369105,5.2230724861454,11.5711129817632,7.27213120334926,10.5468649508439,5.9277833618441,9.80676766327797,7.19728436686193,6.78649054931643,1
8.40698949291277,10.7481032440118,7.22658790061878,5.85062049777445,8.30350579864302,5.65322925344155,6.63881699650619,6.92917121990369,4.96589936365508,6.37420159006952,11.9705761350669,7.10919346438957,5.03631868944977,4.92223444548793,5.83544763268742,10.4622342910623,6.37207934746316,9.30760643704343,5.70456365295282,9.7987045001836,7.42068028609379,6.54515267688763,1
6.63724,8.38159,11.0195,4.29286,6.46005,10.4174,7.34024,8.27912,3.65036,5.85719,4.95863,12.4638,6.08048,4.00815,4.24736,4.78307,3.37967,7.4,4.92447,8.384,9.18797,7.67405,0
8.81801,11.5941,5.97295,8.76444,9.84648,9.3504,8.22987,9.57804,7.89459,5.49917,11.6205,5.20951,4.77543,4.73348,4.71118,12.384,8.09576,10.5132,4.12722,10.8397,10.8685,5.60485,1
9.99853,11.0494,5.66068,9.72532,9.06957,5.94219,7.86497,10.8323,6.18853,5.55718,10.5042,6.08099,4.80791,5.50261,6.05339,12.8921,9.019,9.73356,3.92673,10.516,10.1322,5.84809,1
9.05992,11.4383,5.17068,9.14443,8.52707,6.87566,7.95096,10.364,6.21642,5.63368,11.0705,6.51478,5.76117,4.40146,4.72183,12.1171,9.78808,9.80404,4.82982,9.43328,12.0413,6.59442,1
10.1899,11.6026,5.84257,6.74097,5.25036,7.47632,6.99643,8.99072,4.93828,6.46219,4.94253,5.85598,4.84393,4.3012,4.72516,5.42954,3.87362,6.87894,4.05101,9.76576,5.81526,7.379,1
9.80686,12.2372,6.05784,9.08206,9.43446,9.56587,7.85934,9.32185,8.03054,8.29209,10.7273,6.23172,5.03569,3.80894,4.81104,13.2774,8.04144,10.1457,4.43662,11.1491,11.413,5.49043,1
10.3903,12.3259,5.34043,4.20053,7.77132,7.79354,8.12229,11.2425,9.1639,5.12679,4.58409,5.20655,4.85664,4.41753,6.81724,12.0522,7.97334,9.89451,3.97669,10.6389,5.81834,7.81337,1
9.56491,11.4992,5.8678,7.99242,10.4042,9.05878,8.47917,9.43177,8.15952,6.23778,10.0299,6.48822,4.77166,5.7178,5.13164,13.3558,9.33549,9.33911,4.2234,10.6558,8.88907,6.12193,1
10.0698,11.1184,4.66802,6.46885,6.82782,10.5372,7.31756,10.1449,7.44843,6.37489,4.30416,5.88251,7.09742,5.36981,4.2087,7.55252,6.78234,8.43121,5.47208,9.90283,4.93427,8.31676,0
9.48391,11.9784,5.25513,6.56073,8.5112,9.3839,7.7015,9.29115,5.36833,4.8575,9.12099,6.2225,5.27693,4.22552,4.45405,12.4798,7.40821,9.27011,4.124,10.9114,8.2628,5.77808,1
8.8884,11.3539,5.39412,4.0851,7.42963,7.45565,7.55622,10.4463,6.37404,6.57877,5.92075,5.09758,4.44947,4.27431,5.29207,12.0484,7.15076,10.0686,4.17244,11.0127,9.13672,5.62439,1
9.76522,11.6718,5.67566,5.87954,6.55567,9.4886,8.20822,8.87409,6.00014,11.5221,5.91695,5.41548,4.29131,4.14353,8.18909,12.2325,4.78731,9.70478,4.44205,11.743,9.53155,6.8266,1
10.2325546308539,10.7877809291777,6.51147395922325,8.28905623768339,6.50267478830385,5.92929562519584,8.10851611408822,9.32859992822732,6.32420919535314,6.96700821836621,7.54324475993698,7.1959304633111,5.34857525587699,5.14500720892377,6.3899539739924,11.8515573609672,9.14846566248163,10.2848463979281,5.98620742282868,8.99717600392444,8.33636004421663,7.82840511514706,1
7.11319,9.19592,11.5187,4.11366,6.21306,11.0342,6.84455,8.07828,4.65672,6.28,4.29009,10.8346,5.46009,3.99629,3.9854,4.99263,3.91701,7.94952,4.30133,8.73794,10.1464,7.34058,0
9.94452,11.639,5.60126,4.29154,8.42935,9.09221,7.39389,10.6087,6.10509,8.55113,8.7137,5.40359,4.52324,4.02124,5.5711,11.1775,5.72193,10.4016,4.07697,11.4857,7.81281,5.38437,1
9.08926,8.75651,4.97696,6.09946,8.41609,7.4271,8.10695,9.63086,5.64809,5.21799,9.36109,6.81449,5.23489,5.14962,4.51701,12.0787,8.62936,8.698,4.24944,9.71708,8.41303,6.78288,1
10.7357,12.1881,5.72739,4.15864,7.95676,8.98801,8.74108,11.1163,8.29817,8.74031,7.12324,4.85599,4.72351,3.96408,4.00839,11.5687,8.18222,9.74704,4.37032,11.616,7.22978,8.68364,1
8.90326609264141,10.539291282421,7.32995109867495,8.91318419961558,7.73830554615432,6.32228846446022,7.47174270300319,7.67155867795314,5.90828148901362,6.54380303060491,10.4333870111185,7.56123415849857,5.55153124707793,5.4733331455265,5.31958369620428,10.7471651214312,6.90892454183676,9.593174977257,5.78533193293628,8.30334775109986,6.52092314038881,7.20689117653333,1
8.86388,9.96122,4.81478,4.72994,8.60893,4.49649,7.31453,9.93023,5.68099,5.6048,9.85404,6.00845,5.21619,7.07468,4.59589,12.0406,8.23337,8.02968,3.73218,9.69166,10.4551,7.05726,1
10.7253,12.99,5.22357,9.35023,6.33946,7.47393,7.08359,8.75365,4.60188,5.13091,4.62533,5.66652,4.77697,4.77726,6.22469,5.69938,10.3101,7.80176,4.072,8.80287,10.3807,5.58397,1
10.622,12.8446,7.03908,9.48157,6.31383,7.93436,8.38972,9.9112,6.83892,9.8312,5.37195,5.79911,4.22413,3.94686,5.36068,11.3629,8.29429,8.88465,4.37155,12.0302,10.6714,7.25527,1
8.22446,8.34779,9.98557,3.22675,7.1266,11.4439,7.15632,8.18443,7.5036,3.51448,3.60465,9.9633,5.70935,3.31947,3.06529,5.14995,4.93445,7.14189,4.05634,8.38986,9.36413,7.26852,0
9.5672815915714,11.105690213443,6.77290509924417,6.82283847694835,8.68912174883705,6.95360872492113,7.48262032603636,8.35363336277338,6.53795725675765,6.940563429782,10.2618937081734,7.4596771887903,5.10634485574852,4.93016008783948,5.51313084886437,11.8196972492169,7.67454305952544,10.4438117964725,6.15289550579753,10.4297360509177,7.6892051098881,7.10981109494784,1
6.7952,9.06109,11.894,3.89341,7.22385,10.9955,7.33144,8.53714,4.82763,5.18951,4.09582,12.0846,6.56599,3.92022,3.70293,4.97702,3.75328,7.5278,5.53784,9.16595,10.8908,8.15428,0
9.0504412020358,11.0756080476848,7.06236515652772,6.34015111187966,7.25276385787398,7.45964379030136,7.6142492625481,9.65337375304438,6.98357177938785,7.82711887775281,6.05376634697775,7.18571528620934,5.75609987831001,5.01008425613705,4.88965937769556,12.3007120317265,7.27862639528371,11.10958541308,6.14086055820955,9.5019444443809,7.72632210998938,6.85555407251345,1
10.1374718029637,11.2388549104815,6.82920411239052,8.32136459177281,8.4219494081771,7.60200721706838,7.97867583955101,9.43583530961763,6.1649396660653,7.05165267988104,7.82409708067598,7.21817778947161,5.29779154426283,4.94126954783242,6.60398385691524,12.2225070819318,8.24937026665439,10.6486479489679,5.79285428170641,10.3540778392488,6.66454299268009,6.97047977023615,1
6.14945,6.54112,10.1747,4.27115,6.15382,10.7979,6.65845,7.50431,4.53388,6.27866,4.36642,10.2821,5.67343,5.39698,3.93995,4.33033,3.62409,7.3163,4.92697,8.21194,10.3391,7.58765,0
6.92985,8.70339,11.574,4.18026,6.53394,10.6767,7.31115,8.07108,4.48471,5.66348,4.51499,10.8825,6.18779,3.61432,3.68349,5.09778,3.70953,7.8929,5.2091,8.86825,10.5099,7.63918,0
8.92808,13.0645,5.38441,8.91496,6.54415,5.63462,7.67766,7.3304,4.99746,6.59769,4.68928,5.60505,5.09285,4.26692,5.6044,9.86253,3.95715,6.39972,4.36999,10.9901,6.27412,5.50441,1
9.17018569190108,11.3054636260891,6.65894897641186,7.82142493305203,8.04592407972992,5.84977739169586,7.64062347271589,8.19726948484569,6.51208620504001,7.23175228210594,10.5669661543746,7.16372516846432,5.87928234385872,5.61176330451205,5.55786760653537,10.937062960313,7.37473172246856,10.127317463831,5.9934151227371,9.85452001093618,9.79961723222923,7.05961482008834,1
