STMN1,SOX4,TGFBI,TSPAN7,S100A13,LYN,CD93,SIRPA,SMARCD1,SSBP2,MPO,JADE3,CTSG,EREG,NPY,RHAG,PF4,APMAP,CCR2,MMP8,NAALADL1,THY1,SPP1,GABPAP,IRX5,DNTT,ZNF423,TRAF3IP2,ABCC6,ADA,ENAH,LPAR6,DPPA4,CD244,ARPP21,ASTE1,SEMA4C,target
9.89880321056677,10.5027307184953,6.92175429038999,10.4412929933125,6.10031203600687,4.92592839629866,6.71426317396184,6.4912731701827,7.21648746297109,8.49253276821904,7.36203914008945,5.32738299464882,7.70220691901027,3.95872132224273,5.98249380097954,4.60589442800628,7.25818677464751,8.35700841493423,5.98880930819839,5.86719575584743,5.42175202607234,7.31583563536165,5.31190763544294,5.14914356445667,5.45287060494184,10.262061504685,10.1444787761392,8.49647164915238,6.03081758478854,10.1534906755985,4.90081823895792,8.34583823640958,4.48234216022168,7.13517726161817,4.67188804390848,6.81130108203124,7.15413140450822,1
7.24408,11.8287,6.46399,4.81073,5.9348,6.33362,4.71992,4.99745,7.50522,8.70218,5.32095,5.85152,6.41562,4.40564,10.0673,4.42955,5.88234,7.75478,4.00744,4.44086,5.06236,7.02872,5.29096,7.39727,4.85565,7.21809,7.28456,8.67857,4.56331,9.33588,4.91497,8.45768,3.77986,5.20206,8.629,5.63067,8.18484,1
8.98901011778928,11.7105661438816,6.51116354377552,8.10881317898941,8.62015945775429,8.08523577479214,9.40444281300653,7.30164953658191,7.53162834800462,8.76988638468056,10.1515968534483,6.36695990357635,10.33050307865,4.15458042448773,9.97662875610989,4.30795650396253,6.74790608688371,9.3524796374516,5.90164081163025,9.70299009256319,5.24018000289681,6.4965626474287,4.64110053369105,7.00594004660316,5.2230724861454,11.5711129817632,7.27213120334926,10.5468649508439,5.9277833618441,9.80676766327797,6.88551700375013,7.19728436686193,4.43101824824478,6.69765727933676,4.80171352371387,6.71768616057283,6.78649054931643,1
8.40698949291277,10.7481032440118,7.22658790061878,5.85062049777445,8.30350579864302,5.65322925344155,7.0662661117322,6.26531667902241,6.63881699650619,6.92917121990369,7.82244363751786,4.96589936365508,6.37420159006952,4.64185095186934,11.9705761350669,5.05280950628158,7.10919346438957,7.81674636194129,5.73220075613905,5.51496918603014,5.03631868944977,7.34784999821891,4.92223444548793,6.57587527571325,5.83544763268742,10.4622342910623,6.37207934746316,9.30760643704343,5.70456365295282,9.7987045001836,4.97324181775912,7.42068028609379,4.70082503479423,6.29988277535875,5.11604865894726,7.37914494294794,6.54515267688763,1
6.63724,8.38159,11.0195,4.29286,6.46005,10.4174,10.2438,8.89522,7.34024,8.27912,4.64066,3.65036,5.85719,4.71958,4.95863,3.12863,12.4638,9.87502,9.31302,3.83436,6.08048,6.16282,4.00815,5.2465,4.24736,4.78307,3.37967,7.4,4.92447,8.384,3.74514,9.18797,3.30829,8.99581,4.13791,6.38838,7.67405,0
8.81801,11.5941,5.97295,8.76444,9.84648,9.3504,8.13954,7.99207,8.22987,9.57804,5.09037,7.89459,5.49917,3.71588,11.6205,3.87238,5.20951,7.2876,3.58165,4.05392,4.77543,5.91735,4.73348,7.73184,4.71118,12.384,8.09576,10.5132,4.12722,10.8397,5.63163,10.8685,3.02507,4.64459,7.1068,5.59233,5.60485,1
9.99853,11.0494,5.66068,9.72532,9.06957,5.94219,6.20177,5.92658,7.86497,10.8323,6.31711,6.18853,5.55718,4.71316,10.5042,5.07794,6.08099,7.97535,3.7087,4.32663,4.80791,6.1336,5.50261,6.95551,6.05339,12.8921,9.019,9.73356,3.92673,10.516,5.49723,10.1322,3.12739,5.26906,9.95714,4.25929,5.84809,1
9.05992,11.4383,5.17068,9.14443,8.52707,6.87566,5.42835,5.65422,7.95096,10.364,5.24511,6.21642,5.63368,3.95517,11.0705,3.53526,6.51478,6.83578,4.14131,4.16884,5.76117,6.58799,4.40146,7.54564,4.72183,12.1171,9.78808,9.80404,4.82982,9.43328,6.37722,12.0413,3.25229,5.95002,6.37222,5.37058,6.59442,1
10.1899,11.6026,5.84257,6.74097,5.25036,7.47632,4.90262,5.70819,6.99643,8.99072,4.22513,4.93828,6.46219,4.94355,4.94253,4.6033,5.85598,8.4297,4.87629,4.13849,4.84393,5.90153,4.3012,6.30028,4.72516,5.42954,3.87362,6.87894,4.05101,9.76576,5.31877,5.81526,3.90874,8.5142,8.75582,6.25856,7.379,1
9.80686,12.2372,6.05784,9.08206,9.43446,9.56587,10.5209,5.31409,7.85934,9.32185,7.7347,8.03054,8.29209,3.99584,10.7273,3.60752,6.23172,9.38554,3.88154,7.5731,5.03569,5.9852,3.80894,6.2471,4.81104,13.2774,8.04144,10.1457,4.43662,11.1491,6.78205,11.413,3.15085,6.07422,10.398,5.94412,5.49043,1
