CCL5,RCN1,TRAFD1,APOC4-APOC2,TFF3,FPR1,FAM50B,GP1BB,EDIL3,GPR171,MAML3,ASAH1,TBC1D9B,ALDH1A1,LCN2,COL4A5,CDC42BPA,CHRM3,HBBP1,TRBV21-1,GOLM1,BZW2,DSG2,AKTIP,DNAAF5,TIMM22,C3orf14,CXorf57,SLC27A5,PCDH9,NUDT11,VPREB3,PDZRN4,CLIC4P1,SH3BP4,target
9.77201,6.588610000000001,7.487039999999999,6.32616,6.35989,9.64856,6.19347,7.90332,3.07517,4.6814300000000015,5.30912,9.82273,8.77542,5.63267,11.3734,4.51053,5.65077,3.5200099999999996,6.93734,4.45143,6.5168,10.2258,5.51748,6.8098100000000015,7.152660000000001,5.92322,3.9602699999999995,4.11409,6.7565800000000005,4.83905,4.80011,5.8864199999999975,2.98677,7.641210000000001,4.6007,1
12.0725,7.03503,8.233319999999999,5.7804800000000025,4.73228,9.93575,6.642010000000001,8.41496,2.93316,9.06142,7.808619999999999,10.4138,8.644160000000001,7.890910000000001,8.280380000000001,2.86592,3.83705,3.16407,3.71644,5.1677300000000015,5.66432,9.73436,3.7045800000000004,7.50453,8.00908,6.665189999999999,6.83189,6.21347,5.86172,6.89841,4.4595400000000005,7.45109,2.79926,6.41399,5.4227,0
9.55874,6.7705100000000025,6.7583100000000025,7.73987,6.34006,10.1756,5.8163,4.69487,3.03658,4.22323,5.15716,10.269,8.44168,4.01179,4.89423,3.77085,3.92973,3.21493,4.69309,4.9295300000000015,6.2423800000000025,9.292810000000001,3.7963199999999997,4.731330000000002,6.31157,6.4150199999999975,4.5168300000000015,4.5304199999999994,5.6743,5.05126,5.08274,5.26047,3.1211900000000004,6.6742300000000006,3.97586,1
6.950089999999999,8.0243,7.32455,8.655489999999999,5.56165,5.44767,5.87748,6.6253600000000015,3.04383,5.31009,7.09305,9.2789,9.56441,6.1478,5.51202,8.67282,3.7339,3.4463699999999995,6.93088,4.1540099999999995,4.702380000000002,11.103,3.82821,5.64205,8.31357,7.27025,3.4262699999999997,3.50889,7.182939999999999,4.51923,4.23936,4.13045,2.9348400000000003,6.35401,4.29093,1
8.06742,7.90325,6.97187,7.5918800000000015,5.91634,5.71402,5.06644,4.98227,2.98798,4.27794,5.80265,8.2742,8.42103,4.16596,5.52744,3.19605,3.79503,3.69308,4.52573,4.89165,4.98345,11.0666,4.0056199999999995,5.297219999999999,6.91903,6.75299,4.19119,3.94496,6.8445,4.89383,4.27712,5.18628,3.08133,6.29737,3.5664800000000003,1
12.3522,7.6319,7.21374,7.6307899999999975,5.58181,9.506680000000001,6.55166,5.69944,3.36995,4.27003,7.18377,9.7353,8.43791,4.09015,7.18722,5.95775,6.23153,3.16662,6.8206,4.08557,4.60078,10.7416,3.9773300000000003,4.92671,7.9744899999999985,6.24625,3.81356,3.91264,5.78958,5.32113,4.00486,4.50508,3.18777,6.873139999999999,4.8411300000000015,1
10.8506,4.74069,8.130939999999999,6.29741,6.01234,12.627,6.8426899999999975,7.58028,3.21005,8.01609,6.6666300000000005,9.056389999999999,7.49633,4.75307,7.57517,3.04587,4.4963,4.01506,5.0856,4.50387,4.73476,7.787889999999999,3.78051,6.99879,6.24878,6.5666600000000015,4.94686,4.25479,6.10343,6.09879,4.10391,6.5963600000000016,3.08756,6.0773800000000024,4.3665,0
8.58187,7.3998800000000005,7.32073,6.25991,7.28914,10.2608,6.31065,6.0835300000000005,7.44884,5.29117,8.0983,9.03694,8.47833,4.3691,10.2296,3.17362,5.8003300000000015,3.22096,4.73696,4.0144,6.3722199999999996,10.1465,4.59092,6.70817,8.61931,7.44831,4.43286,3.87304,6.1284800000000015,5.30851,4.38483,5.65974,3.68401,6.71087,4.38305,1
9.12443,7.0616600000000025,6.9489,7.807760000000001,5.33812,10.8108,5.8557,5.32068,2.97382,3.94339,8.48671,10.7878,9.10559,3.9969,5.52401,4.55088,3.92339,3.20277,4.55144,4.13842,4.37712,10.7076,4.18543,5.10594,8.26677,5.1875599999999995,3.50916,3.68589,6.02273,4.72849,4.62616,4.63566,2.9759,6.88152,5.14199,1
7.0872052972694695,8.97292883082831,7.80643818263127,8.188696163019541,7.0281139150986505,7.06337060018265,7.50641672286533,6.66768456659802,5.31481215430223,6.25577574480863,5.71356569670638,7.3555164995725715,8.71912136028882,4.63699382577634,6.87514996365677,7.33214616217795,4.75973812649587,6.20283880959617,6.5173095899353095,6.22134703267861,6.415545292102372,9.26820337330582,5.409195375766768,6.9555064875754296,8.24575859982493,7.00090152755117,4.93301298222819,4.78930883942479,6.80497860535923,7.090806471939559,7.7952615612928895,6.50358946706546,5.29745238003769,7.04254372202429,6.16019478522546,1
