CCL5,HLA-E,RCN1,TGFBI,MYBL2,CD14,NUP214,COMMD3-BMI1,FNDC3A,EPS8,LIG1,TRAFD1,IGF1R,PRAME,P2RX4,APOC1,APOC4-APOC2,TFF3,FPR1,HOXB6,FAM50B,WT1,CCR7,GP1BB,FLT3,EDIL3,GPR171,MAML3,GLRX,STK16,CDKN2A,ASAH1,FN1,TBC1D9B,ALDH1A1,LCN2,OLFM4,COL4A5,CDC42BPA,GPR65,CHRM3,HOXA1,TRAV8-3,HBBP1,TRBV21-1,GOLM1,BZW2,DSG2,DCTN4,AKTIP,DNAAF5,LPAR6,PACSIN3,SMYD3,DEPTOR,TIMM22,C3orf14,CXorf57,SLC27A5,PCDH9,NUDT11,VPREB3,PDZRN4,SPX,VPREB1,CDCA8,GDF15,CLIC4P1,SH3BP4,TCL1A,target
9.77201,11.4001,6.588610000000001,8.02418,9.09346,7.791930000000002,8.810839999999997,8.982619999999997,6.35827,5.07421,7.8845800000000015,7.487039999999999,7.63012,5.27724,8.165239999999999,7.509519999999998,6.32616,6.35989,9.64856,7.50259,6.19347,3.77505,7.1433,7.90332,6.46807,3.07517,4.6814300000000015,5.30912,9.14901,6.40774,6.8139,9.82273,3.78284,8.77542,5.63267,11.3734,8.17512,4.51053,5.65077,7.932360000000001,3.52001,4.33857,4.605580000000002,6.93734,4.45143,6.5168,10.2258,5.51748,8.52732,6.8098100000000015,7.152660000000001,6.58143,5.58746,7.34708,5.06553,5.92322,3.96027,4.11409,6.7565800000000005,4.83905,4.80011,5.886419999999998,2.98677,3.73794,4.9257800000000005,7.2696,6.36667,7.641210000000001,4.6007,5.08627,1
12.0725,12.0147,7.03503,11.071,6.72783,11.7539,9.32465,9.75298,8.44192,5.21177,7.32661,8.233319999999999,7.71822,4.09611,8.09883,5.38247,5.780480000000002,4.73228,9.93575,3.83049,6.642010000000001,3.15814,10.8481,8.41496,6.517,2.93316,9.06142,7.808619999999999,10.4202,6.45426,5.7534800000000015,10.4138,3.27663,8.644160000000001,7.890910000000001,8.280380000000001,5.6378900000000005,2.86592,3.83705,10.7164,3.16407,5.50256,5.9553,3.71644,5.1677300000000015,5.66432,9.73436,3.70458,7.25967,7.50453,8.00908,10.1395,4.6596,7.556189999999999,5.22797,6.665189999999999,6.83189,6.21347,5.86172,6.89841,4.4595400000000005,7.45109,2.79926,6.42438,4.4430000000000005,5.85446,4.29748,6.41399,5.4227,9.8466,0
9.55874,11.0523,6.770510000000002,8.81052,6.781460000000001,11.044,9.005419999999997,8.91291,6.83257,6.03792,7.11297,6.758310000000002,4.72529,4.98473,8.81825,5.78072,7.73987,6.34006,10.1756,8.86994,5.8163,5.471430000000002,7.65842,4.69487,8.3257,3.03658,4.22323,5.15716,8.09503,6.15043,6.7916300000000005,10.269,5.65572,8.44168,4.01179,4.89423,3.03654,3.77085,3.92973,8.77326,3.21493,7.25794,5.1349,4.69309,4.9295300000000015,6.242380000000002,9.29281,3.79632,8.574860000000001,4.731330000000002,6.31157,9.26271,4.64044,8.19214,5.21496,6.415019999999998,4.5168300000000015,4.53042,5.6743,5.05126,5.08274,5.26047,3.1211900000000004,3.39641,4.46817,6.4799,5.57774,6.6742300000000006,3.97586,4.996580000000002,1
6.9500899999999985,11.4319,8.0243,5.3891,6.60439,4.55655,8.814169999999997,10.1393,8.49772,4.21271,7.174,7.32455,7.0175800000000015,4.44439,8.31591,6.71415,8.655489999999999,5.56165,5.44767,8.67994,5.87748,8.927769999999997,4.41266,6.6253600000000015,10.2331,3.04383,5.31009,7.09305,8.99601,7.493889999999999,7.33188,9.2789,3.6806,9.56441,6.1478,5.51202,3.01991,8.67282,3.7339,4.82645,3.4463699999999995,4.9966599999999985,4.49294,6.93088,4.15401,4.702380000000002,11.103,3.82821,7.686660000000002,5.64205,8.31357,6.76329,5.10055,11.7971,7.78931,7.27025,3.42627,3.50889,7.1829399999999985,4.51923,4.23936,4.13045,2.9348400000000003,3.688180000000001,4.6951,6.49805,5.23309,6.35401,4.29093,4.83596,1
8.06742,10.9668,7.90325,5.67549,7.535819999999998,4.37702,7.962169999999999,9.87317,7.4242,4.10986,7.2827899999999985,6.97187,6.1391800000000005,8.8306,8.5783,6.54401,7.5918800000000015,5.91634,5.71402,4.17389,5.06644,6.70107,5.45991,4.98227,9.3813,2.98798,4.27794,5.80265,7.15244,6.15825,6.09585,8.2742,3.38962,8.42103,4.16596,5.52744,2.76329,3.19605,3.79503,5.09668,3.69308,3.97021,4.73361,4.52573,4.89165,4.98345,11.0666,4.00562,7.943219999999998,5.2972199999999985,6.91903,7.93232,5.1107,9.06984,8.049539999999999,6.75299,4.19119,3.94496,6.8445,4.89383,4.27712,5.18628,3.08133,2.93226,4.48873,6.87418,5.1898800000000005,6.29737,3.5664800000000003,5.129,1
12.3522,10.7149,7.6319,7.72002,7.74367,9.85655,8.82273,10.2562,8.52468,5.50636,8.18272,7.21374,6.44185,5.14072,8.82547,6.7344100000000005,7.630789999999998,5.58181,9.50668,7.2182,6.55166,5.69448,5.86822,5.69944,9.96427,3.36995,4.27003,7.18377,8.38133,6.13726,6.2198400000000005,9.7353,3.78471,8.43791,4.09015,7.18722,3.65041,5.95775,6.23153,8.662510000000001,3.16662,7.488060000000001,4.18133,6.8206,4.08557,4.60078,10.7416,3.97733,8.5096,4.92671,7.9744899999999985,5.6318199999999985,4.51225,7.68533,6.894430000000002,6.24625,3.81356,3.91264,5.78958,5.32113,4.00486,4.50508,3.18777,4.06344,4.43717,7.0806,7.10585,6.8731399999999985,4.8411300000000015,4.92548,1
10.8506,11.632,4.74069,9.69007,7.7635,10.6799,9.27709,7.07637,6.95748,3.732580000000001,6.48637,8.130939999999999,7.6170399999999985,4.69336,7.5921699999999985,5.98029,6.29741,6.01234,12.627,4.01475,6.842689999999998,3.56875,9.91675,7.58028,5.59282,3.21005,8.01609,6.6666300000000005,8.10801,6.655589999999999,6.0088300000000014,9.05639,3.62706,7.49633,4.75307,7.57517,3.2627900000000003,3.04587,4.4963,7.54798,4.01506,4.3155199999999985,5.4349300000000005,5.0856,4.50387,4.73476,7.787889999999999,3.78051,5.29724,6.99879,6.24878,7.824610000000002,4.61404,5.6245,4.5643400000000005,6.5666600000000015,4.94686,4.25479,6.10343,6.09879,4.10391,6.5963600000000016,3.08756,3.76571,4.27087,5.9763,4.48404,6.077380000000002,4.3665,7.69365,0
8.58187,10.6084,7.39988,8.0316,8.1794,9.86422,8.69068,10.1197,8.75223,7.17547,8.00323,7.32073,7.43722,6.12294,8.00623,6.89467,6.25991,7.28914,10.2608,4.07954,6.31065,6.960189999999999,6.147869999999998,6.0835300000000005,7.400060000000001,7.44884,5.29117,8.0983,9.29788,6.09212,5.94654,9.03694,4.82578,8.47833,4.3691,10.2296,8.31758,3.17362,5.8003300000000015,9.06174,3.22096,4.92444,4.56835,4.73696,4.0144,6.37222,10.1465,4.59092,7.30935,6.70817,8.61931,8.68693,5.00972,9.26357,9.14221,7.44831,4.43286,3.87304,6.1284800000000015,5.30851,4.38483,5.65974,3.68401,3.7395,4.4414099999999985,8.163780000000001,4.65802,6.71087,4.38305,6.16337,1
9.12443,9.94727,7.061660000000002,6.2083,7.835489999999999,11.529000000000002,8.465010000000001,8.88376,8.03985,6.90417,7.23078,6.9489,5.35847,5.86057,8.95662,5.82774,7.807760000000001,5.33812,10.8108,8.771889999999999,5.8557,4.28341,5.42622,5.32068,10.798,2.97382,3.94339,8.48671,9.38178,6.3471199999999985,8.1687,10.7878,8.09861,9.10559,3.9969,5.52401,3.16449,4.55088,3.92339,8.513,3.20277,5.60797,4.53723,4.55144,4.13842,4.37712,10.7076,4.18543,7.23267,5.10594,8.26677,5.86057,5.3761,8.09297,6.613410000000001,5.18756,3.50916,3.68589,6.02273,4.72849,4.62616,4.63566,2.9759,2.97227,4.18138,7.91993,4.5061300000000015,6.88152,5.14199,6.02717,1
7.0872052972694695,9.094808035161519,8.97292883082831,7.02332074571097,7.940455509374582,5.50539811321753,7.93280226857712,7.01239636353578,8.44454140236377,4.69652847129993,8.19924492338042,7.80643818263127,6.51654389409058,6.17137971220125,8.36030344747752,6.400479459968281,8.188696163019541,7.0281139150986505,7.06337060018265,5.5021116391807805,7.50641672286533,6.4748535074765,7.2463854192572414,6.66768456659802,9.83025292251296,5.31481215430223,6.25577574480863,5.71356569670638,7.7503623792009915,6.68201594598819,7.17563599008011,7.3555164995725715,5.65979288694168,8.71912136028882,4.63699382577634,6.87514996365677,4.7691186558887315,7.33214616217795,4.75973812649587,5.95299887258477,6.20283880959617,5.59539030735458,5.20158181913022,6.5173095899353095,6.22134703267861,6.4155452921023715,9.26820337330582,5.409195375766768,6.212145934651929,6.9555064875754296,8.24575859982493,6.4233225091844295,5.6790706060903,7.604896208202679,7.52138600964182,7.00090152755117,4.93301298222819,4.78930883942479,6.80497860535923,7.090806471939559,7.7952615612928895,6.50358946706546,5.29745238003769,7.515045550880068,4.7476622840599605,7.391023375498201,5.15659261619741,7.04254372202429,6.16019478522546,7.84069013520247,1
